month,base_payment,cost,revenue,adjustment,margin,wmvi,employer_exposure,regime,event,cap_hit,project
2022-02-01,0.09238863220420208,0.0993010067321908,0.09238863220420208,0.0,-0.006912374527988721,0.11903503754810331,0.0,Fixed-price,False,False,building
2022-03-01,0.08959134228952065,0.09690390496824768,0.08959134228952065,0.0,-0.007312562678727028,1.1020502168456427,0.0,Fixed-price,False,False,building
2022-04-01,0.08184524831475301,0.08829794703597309,0.08184524831475301,0.0,-0.0064526987212200765,-0.13069330358515868,0.0,Fixed-price,False,False,building
2022-05-01,0.07079160815290438,0.07702612056851987,0.07079160815290438,0.0,-0.006234512415615498,1.953889663512594,0.0,Fixed-price,False,False,building
2022-06-01,0.05839319967111854,0.06369910929579722,0.05839319967111854,0.0,-0.005305909624678681,2.636389807446853,0.0,Fixed-price,False,False,building
2022-07-01,0.046309947444497145,0.051123607922108336,0.046309947444497145,0.0,-0.004813660477611191,2.0246570967931357,0.0,Fixed-price,False,False,building
2022-08-01,0.03559550566771102,0.039238675801090236,0.03559550566771102,0.0,-0.0036431701333792185,1.846293002923112,0.0,Fixed-price,False,False,building
2022-09-01,0.026707411512321422,0.029681715227682284,0.026707411512321422,0.0,-0.002974303715360862,0.33071541717846953,0.0,Fixed-price,False,False,building
2022-10-01,0.01967788666114087,0.021839108850690937,0.01967788666114087,0.0,-0.0021612221895500675,1.4798907025779506,0.0,Fixed-price,False,False,building
2021-05-01,0.04978706836786394,0.0518809417584496,0.04978706836786394,0.0,-0.002093873390585664,-1.0270971111415526,0.0,FIDIC 13.8,False,False,building
2021-06-01,0.019677886661140686,0.020530874739465736,0.01969312884210793,1.5242180967241794e-05,-0.000837745897357807,-1.0234795015896792,1.5242180967241794e-05,FIDIC 13.8,True,False,building
2021-07-01,0.026707411512321613,0.027877424593451657,0.026714798926949095,7.387414627483703e-06,-0.001162625666502562,-0.17507464997800753,2.26295955947255e-05,FIDIC 13.8,True,False,building
2021-08-01,0.03559550566771097,0.03721535803143668,0.03563178450527238,3.627883756141313e-05,-0.0015835735261642975,-0.19241635420053954,5.890843315613863e-05,FIDIC 13.8,True,False,building
2021-09-01,0.04630994744449718,0.0485650174363765,0.046398527371875095,8.857992737791286e-05,-0.0021664900645014043,-0.16462069989965356,0.0001474883605340515,FIDIC 13.8,True,False,building
2021-10-01,0.058393199671118425,0.061141993791864094,0.05833639665644082,-5.680301467760687e-05,-0.0028055971354232767,0.5228340253777541,9.068534585644462e-05,FIDIC 13.8,True,False,building
2021-11-01,0.07079160815290447,0.07437558627631362,0.07094253388368521,0.00015092573078074407,-0.003433052392628408,-0.41469653089788716,0.0002416110766371887,FIDIC 13.8,True,False,building
2021-12-01,0.08184524831475308,0.08605805154945362,0.08188677473133535,4.152641658227213e-05,-0.004171276818118269,-0.21193500337216453,0.00028313749321946086,FIDIC 13.8,True,False,building
2022-01-01,0.08959134228952052,0.09614420043422096,0.09075614739694615,0.0011648051074256243,-0.005388053037274812,-0.4588434300588735,0.0014479426006450851,FIDIC 13.8,True,False,building
2022-02-01,0.09238863220420208,0.0993010067321908,0.09248158300278601,9.295079858392834e-05,-0.006819423729404792,0.11903503754810331,0.0015408933992290136,FIDIC 13.8,True,False,building
2022-03-01,0.08959134228952065,0.09690390496824768,0.08995702852221794,0.0003656862326972914,-0.006946876446029732,1.1020502168456427,0.001906579631926305,FIDIC 13.8,True,False,building
2022-04-01,0.08184524831475301,0.08829794703597309,0.08170867774054913,-0.0001365705742038883,-0.006589269295423958,-0.13069330358515868,0.0017700090577224166,FIDIC 13.8,True,False,building
2022-05-01,0.07079160815290438,0.07702612056851987,0.07118357933127123,0.00039197117836684936,-0.005842541237248644,1.953889663512594,0.002161980236089266,FIDIC 13.8,True,False,building
