project,regime,margin_variance,budget_variance,adjustment_count,cap_hit_count,worst_margin,max_employer_exposure,sim_id
road,Fixed-price,2.7874856108817004e-06,0.00033542034092931295,0,0,-0.005237051118273134,0.0,68
road,FIDIC 13.8,4.459976977410719e-07,0.0003585366029655204,23,0,-0.0020948204473092563,0.04472899391620144,68
road,DAM,5.628860180787203e-07,0.00035758838694927047,6,0,-0.0027018469409986895,0.04145203937312988,68
road,Fixed-price,3.868717037691743e-06,0.00033542034092931295,0,0,-0.006707800696646976,0.0,69
road,FIDIC 13.8,6.189947260306788e-07,0.0003649816736189347,23,0,-0.0026831202786587877,0.042888138921826406,69
road,DAM,6.541371858869712e-07,0.0003645243053613881,4,0,-0.0026831202786587877,0.03912806876094025,69
road,Fixed-price,8.880661824424057e-06,0.00033542034092931295,0,0,-0.009137580282328667,0.0,70
road,FIDIC 13.8,1.4209058919078507e-06,0.00038560470654615747,23,0,-0.0036550321129314653,0.07621917974493242,70
road,DAM,1.6483078787737078e-06,0.00038207210023919754,6,1,-0.004328663278470923,0.06976048983023737,70
road,Fixed-price,4.793533206326913e-06,0.00033542034092931295,0,0,-0.007505499394299689,0.0,71
road,FIDIC 13.8,7.66965313012308e-07,0.0003730228387992924,23,0,-0.003002199757719884,0.05792633287753779,71
road,DAM,9.159856053211808e-07,0.0003714738359426426,5,0,-0.0035179334840415577,0.05561259121081214,71
road,Fixed-price,9.511769237115438e-06,0.00033542034092931295,0,0,-0.009380475190554308,0.0,72
road,FIDIC 13.8,1.5218830779384688e-06,0.00038841830581654615,23,0,-0.003752190076221726,0.06308209621611033,72
road,DAM,1.5430191439325614e-06,0.00038801660163090176,5,0,-0.00404242410482486,0.05914903755459214,72
road,Fixed-price,5.708566958244659e-06,0.00033542034092931295,0,0,-0.0065543419206918335,0.0,73
road,FIDIC 13.8,9.133707133191466e-07,0.00037614295341862643,23,0,-0.0026217367682767334,0.046416026366459216,73
road,DAM,1.11729148153335e-06,0.0003720395736530476,4,0,-0.003537570454620359,0.04085999586422084,73
road,Fixed-price,6.460670421014889e-06,0.00033542034092931295,0,0,-0.007839634099323284,0.0,74
road,FIDIC 13.8,1.0337072673623829e-06,0.00037643310079827404,23,0,-0.003135853639729319,0.05543950075527446,74
road,DAM,1.4538716364147166e-06,0.0003708282191320454,6,0,-0.003934979196987848,0.04867316455272607,74
road,Fixed-price,1.1816763849789923e-05,0.00033542034092931295,0,0,-0.010680574092375952,0.0,75
road,FIDIC 13.8,1.890682215966389e-06,0.0004021447636227545,23,0,-0.004272229636950384,0.0834600975915905,75
road,DAM,2.310607845286469e-06,0.0003990132969977788,6,1,-0.004940583188540085,0.07830092690483827,75
road,Fixed-price,1.5314656799292714e-05,0.00033542034092931295,0,0,-0.011971913582551147,0.0,76
road,FIDIC 13.8,2.4503450878868353e-06,0.00040375626073397056,23,0,-0.004788765433020453,0.08325238675606168,76
road,DAM,2.4284816995447624e-06,0.00041078046854278,5,0,-0.0047632091281164385,0.0766716790292145,76
road,Fixed-price,1.2738752549843328e-05,0.00033542034092931295,0,0,-0.010787589552615967,0.0,77
road,FIDIC 13.8,2.038200407974934e-06,0.00039861256069676155,23,0,-0.004315035821046392,0.07653112289342388,77
road,DAM,2.3272167745013232e-06,0.00039656905157492623,5,0,-0.005115178453282632,0.06986537832848382,77
road,Fixed-price,4.592268203023601e-06,0.00033542034092931295,0,0,-0.006458281280001629,0.0,78
road,FIDIC 13.8,7.347629124837769e-07,0.00036747318405156896,23,0,-0.0025833125120006545,0.046329908395273914,78
road,DAM,8.603548830461847e-07,0.0003646170395976667,4,0,-0.002877534133609347,0.041446625550758835,78
road,Fixed-price,1.1843774068603049e-05,0.00033542034092931295,0,0,-0.011460381019060176,0.0,79
